tweet,sentiment
@jokowi saya sangat setuju pak bahkan lebih setuju ketika bapak mengalokasikan dulu angggaran untuk pemindahan ibu kota sehingga anggaran nya di fokus kan untuk penanganan covid 19 ini. lebih baik selamatkan dulu nyawa masyarakat di banding fokus terhadap proyek pemindahan ibu kota.,positive
@hnurwahid @FPKSDPRRI Saya setuju ibu kota pindah  tapi ga sekarang,positive
@MardaniAliSera @FPKSDPRRI Saya dan mayoritas rakyat NKRI setuju pindah Ibu Kota Negara... Yang tidak setuju bodo amat..,positive
cocok ibu kota pindah ke kalimantan apalagi gubernurnya ga bisa kerja. dukung @jokowi,positive
@geedeulbeyou1 Jadi kepada lo yang gak setuju ibu kota di pindah lo itu maunya apa sih. Lo kan tau kalau jakarta itu sudah punya beban yang berat untuk menampung semua kegiatan negara dan bisnis. Lagi pula para pakar pun memprediksi kalau beberapa tahun lagi jakarta akan tenggelam.,positive
@HukumDan Alhamdulillah Gerinda setuju pemindahan ibu kota,positive
Ibu kota tidak darurat untuk pindah yang darurat saat ini bagaimana mengatasi pandemi dan memulihkan ekonomi UMKM !! #IKNProyekOligarki !! Tolak Pemindahan Ibu Kota,negative
@Fachry_Murakata Aku sih setuju ibu kota pindah di Kalimantan,positive
#IKNProyekOligarki   Proyek IKN hanya menguntungkan Oligarki tanpa memikirkan beban hidup masyarakat. Tolak Pemindahan Ibu Kota,negative
#UUIKNMendzalimiRakyat   Kami tolak Pemindahan Ibu Kota Negara IKN Proyek Oligarki,negative
@DonAdam68 @TRendusara TOLAK IBU KOTA PINDAH DARI JAKARTA,negative
@kurniawan57arma @zarazettirazr Kami rakyat indonesia Kami tidak setuju ibu kota pindah Anda digaji rakyat!!!..,negative
@hnurwahid La Pemindahan Ibu kota Nusantara pun sejarahnya ini sedang dimulai. Dunia berubah.. Peradaban berkembang.. Sejarah mencatat.. Tidak ada yg salah!!  Yang tidak setuju ya mereka mereka itulah. Heh! mending kita dukung pemindahan IKN supaya Indonesia maju seperti negara lainnya,positive
@Andiarief__ #kitapercayajokowi# rakyat dukung ibu kota pindah  Jakarta TK layak lgi,positive
@CNNIndonesia Setuju ibu kota pindahbiar semua tdk numpuk di jakarta semua.,positive
@yeolbaebae sedih bgt ini juga yg bikin aku g setuju ibu kota pindah. Karena makin banyak lahan yg bakal di tebang :(,positive
#IKNProyekOligarki   Pemindahan Ibu Kota di tengah kekacauan ekonomi?? TOLAK!! Tolak Pemindahan Ibu Kota,negative
@TheArieAir Kita sepakat aja prof... Semua kita dukung rencana pemindahan Ibu Kota...,positive
@kompascom Satu persatu  kualitas kerja presiden terlihat .buat org berpikir sehat .pindah lah ibu kota. Setuju,positive
@DragnelMinor @kemalpalevi Bagi lu begitu krna otak lu hanya berpikir hari ini ngga ada berpikir kedepannya. Emangnya lu pikir pemindahan IKN it seutuhnya di pindah bertahap woiiii perencanaanya dari jmn sukarno. Bkn kepentingan rakyat yg mn.?? Sebagian besar rakyat setuju pmdhn IKN. 😝😜,positive
@AlifYW2 Ingetin tweet nya ini orang . Di masa depan kalau ganti gubernur dari yg dia dukung kalau masih banjir hajar jangan kasih kendor 😄😄 susah presiden aja nyerah om nanganin banjir DKI JKT . Kan ibu kota nya malah mau di pindah biar punya ibu kota bebas macet dan banjir,negative
#IKNProyekOligarki   Pindah ibu kota syarat kepentingan kapitalis bukan kepentingan masyarakat Tolak Pemindahan Ibu Kota,negative
@JazuliJuwaini Klo sy sih setuju ttg pemindahan ibu kota mengingat kondisi demografi jawa yg sdh padat tetapi hrs dibangun secara berdaulat,positive
@TsamaraDKI @aniesbaswedan Kalau benar urus covid ngapain lu dukung pindah ibu kota yg makan biaya banyak? Abis pindah ibu kota jutaan rakyat miskin naik kelas ke kelas menengah gitu? Ayo pake otak,negative
@democrazymedia lu bilang aja lu msg betah jd pejabat pemilu habiskan uang 100 triliun ngapain lu setuju perpindahan ibu kota yg menelan ratusan triliun kl misalkan negara ga punya uang jgn berlagu pk pindah sgala,negative
#IKNProyekOligarki   Pindahin ibu kota = Pindahin masalah. Yang sabar ya warga sekitarnya nanti. Tolak Pemindahan Ibu Kota,negative
@AndhanaTriani @Tjeloup1 Selain itu emang banyak yang gak setuju pindah IKN sih. Warga sana aja pada nolak.,negative
@TofaTofa_id Saya aja gk setuju pindah ikn,negative
Dari semua kesusahan makan tidak lain alasan kita harus menolak hal tersebut!! Tolak Pemindahan Ibu Kota,negative
@SofuanGusti Saya berharap tahun 2024 ibu kota sudah pindah ke ibu kota yang baru dan pak Ahok jadi presidennya saya siap dukung beliau dan masyarakat kalimantan,positive
@ustadtengkuzul Tolak pindah ibu kota,negative
@indiratendi tolak pembukaan lahan secara masif termasuk pemindahan IKN,negative
Pak @jokowi Kapan pindah ibu kota? Sudah gak sabar nih aku juga setuju banget pindah ibu kota.,positive
@muslimahnewscom tolak pengesahan UU IKN..begitu banyak ketidakuntungan dari hal tersebut..Dan perlu dipertanyakan semua itu kepentingan siapa.. karena jelas kalau rakyat saat ini lebih membutuhkan kesejahteraan pasca pandemi.. bukan pindah IKN,negative
@UyokBack Tunda pemindahan ibu kota lawak tetep setuju pindah sih meskipun orang jawa. Kasihan yg kalimantan,negative
#IKNProyekOligarki   Yang punya proyek oligarki kita yang bayarin.. Stop dulu lah... Negara lagi ga ada duit Tolak Pemindahan Ibu Kota,negative
@TofaTofa_id Yang setuju pemindahan ikn juga banyak sob. Gak gelar aksi atu. Gue gak pro Ama lord ya. Tapi kalo soal pemindahan ibu kota gue setuju.,positive
@T_Riani98 @Giring_Ganesha Concern anda thdp pohon ditebang sehingga merusak lingkungan itu saya setuju. Bagaimana dgn rencana IKN di Kalimantan yg mungkin akan melakukan hal yg sama? Apalagi kita tau Kalimantan adlh paru-paru dunia. Silakan pendapat anda disampaikan. Apakah anda setuju dgn pemindahan itu,negative
@QaillaAsyiqah Saya orang Jawa timur setuju banget ibu kota negara pindahbiar ada pemerataan,positive
@NephiLaxmus Setuju.... Pindah Ibu Kota terdesak oleh syahwat... padahal Peremajaan alutsista pendidikan gratis akses kesehatan gratis jauh lebih utama!,negative
Banyak yang tidak setuju pindah ibu kota Jakarta padahal kalo kita mau jujur. Keputusan President sangat benar menginggat jakarta yg selalu langganan Banjir polusi dan kemacetn #BanjirJakarta,positive
@7lRiv3rSid3 @FR33D0ML4ND @KangUtang04 @BFofZlhan @InSrikandi_____ @CintaTanahAir__ @OdriSeva @Sumanto59653397 @Jangkrikgengg15 @ArbyZakey3 @semutsemeru @inspirasi_jalan @gusnelas IKN tetap Jakarta   Tidak setuju pindah Ibukota   #ReferendumTolakIbukotaBaru  #ReferendumTolakIbukotaBaru,negative
@CNNIndonesia Kalau ini petinggi koloni kadal bilang tolakberarti pemindahan IKN sudah tepatbtw ini adminnya emang anggota koloniatau cnn nya?,positive
IKN sejahterakan rakyat! Rakyat aseng maksudnya?  #IKNProyekOligarki Tolak Pemindahan Ibu Kota,negative
@jokowi Insya Allah Semoga tidak jadi itu rencana Ibu Kota Negara RI yg baru. Aamiin Yra.   Kami tidak setuju pemindahan Ibu Kota RI terlalu jauh dari Jakarta! Catat!   Semoga @DPR_RI dpt mengambil keputusan yg bijaksana.   MERDEKA!!!,negative
@zaidvagas_ @Tiant803880 @Chewy_Allie Mjb program emisi karbon itu di kalimantan tengah bukan di kalimantan timur selain itu ikn juga bukan bagian heart of borneo. Saya orang kalimantan asli dan setuju dengan adanya pemindahan ibu kota,positive
Pemindahan ibu kota jangan dipaksakan kalo berhutang tunda dulu. !! #IKNProyekOligarki !! Tolak Pemindahan Ibu Kota,negative
@AbeOfficial981 Sepakat  Tolak Pemindahan Ibu Kota,negative
@nocturnalicious @jijiksamakodok @AbraarRudy @GantengKampret @SuhonoSuwardi @adekrsnnd @MurtadhoRoy Soal IKN gw setuju utk pindah tp tidak sekarang masih ada bbrp tahun sebelum 28% wilayah jkt terendam laut pd 2050 menurut perhitungan berbagai sumber. Rezim skrg cukup bikin kerangka dan UU agar bisa dilaksanakan oleh rezim selanjutnya,positive
@VIVAcoid Saya dukung Pak Presiden supaya ibu kota pemerintahan cepat pindah ke kalimantan lebih adem dan aman .,positive
@prio_atmo @jokowi Tenyata ada yang otaknya dangkal juga ya.jelas jelas dana untuk IKN mengambil dari APBN dan BUMN .itu rakyat belum tentu semua rakyat setuju IKN pindah.apalagi dengan anggaran yg besar sekitar 500triliunan lebih.itu sama saja memeras rakyat.,negative
@aniesbaswedan Cuma orang bodoh aja yg dukung pindah ibu kota,negative
@chaerulmaulanaa Setuju IKN Pindah Ke Kaltim,positive
@ChusnulCh__ @KSPgoid Bosen ah menolak menolak...kapan mau berpikirnya...saya setuju ikn pindah...,positive
@Febri___1717 Pindah ibu kota kayak nya bang solusinya.. tp sy setuju teriakan abang ... lanjutkan,positive
@geloraco Ternyata yang ga mau boleh pensiun dini media emang rada2 kalau bikin judul berita.  Aku sih ga setuju Ibu Kota pindah 😊,negative
Saya sebenarnya setuju dengan pemindahan ibu kota tapi ibu kota baru 3 kali besarnya kota jakarta buat kota segede gaban buat apa? Untuk pusat pemerintahan segede kota bogor aja udah cukup orang pusat bisnis dari zaman kolonial pasti ke Jakarta #BatalkanPemindahanibu kota,negative
#AyoTolakUUIKN   Tolak Pemindahan Ibu Kota #UUIKNMeresahkan,negative
@White64858967 @Linasyafitri_ls @sociotalker Silahkan anda patungan dgn yg setuju pemindahan IKN. Ngapain melibatkan banyak pihak hingga menaikkan pajak hutang dsb. Bahkan sampai investor pun banyak yang cabut,negative
@NANTANGJURAGAN Orang yg ga setuju pindah berarti mengamini ibu kota suatu saat terdampak resiko karena rentan nya kota jakarta,positive
@KompasTV Setujukarena Ibu Kota pindah ke Kaimantan 🙄🙄🙄,positive
@OssyDermawan Semoga sehat selalu Pak. Cuma satu permintaan Kami tolong suarakan TOLAK PEMINDAHAN IKN Terima kasih Pak.,negative
@jokowi Kami setuju IKN pindah ke kaltim agar pembangunan di indonesia ini tidak jawa sentris tapi akan merata sampai ke indonesia timur,positive
Biaya APBN yang sejatinya untuk mensejahterakan rakyat kok malah digunakan untuk kepentingan oligarki. Pemindahan Ibu Kota harus ditolak !!!,negative
@Tan_Mar3M Heh ?itu IKN udah sah ditetapkan jadi kebijakan negara yg gak setuju engan IKN baiknya pindah negara saja 😜😜,positive
Deforestasi masif pasti akan dilakukan jika proyek ini berjalan.  Tolak Pemindahan Ibu Kota,negative
@Hayuningrat7 Biarlah kalimantan tetap kalimantan  dengan hutan dan segalanya tetap terjaga gausah jadi ibu kota. Bapak sy dayak kutai kurang setuju dg rencana pemindahan ibu kota.,negative
#IKNProyekOligarki   Tolak pindah nya ibu kota Mari dukung diterapkanya penerapan syariah di ibukota yang ada #IKNRugikanRakyat,negative
@Insyaal47810194 @geloraco rakyat Indonesia setuju dgn pemindahan ibu kota negara,positive
